,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class
110,Hickorylaan 262,3545 CT,1111,6500.0,78.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814463-hickorylaan-262/,,,,,,,3545,14.243589743589743,4.0
111,Tannhäuserdreef 178,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,,,,,,,3561,18.125,7.0
112,Nijenoord 315,3552 AS,1411,5500.0,97.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,,,,,3552,14.54639175257732,
113,Twellosebeeklaan 123,3521 DR,1040,,50.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,,,,,,,3521,20.8,4.0
114,Twellosebeeklaan 143,3521 DR,1500,,81.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989616-twellosebeeklaan-143/,,,,,,,3521,18.51851851851852,4.0
115,Oudegracht 210 A,3511 NS,1595,,41.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88317865-oudegracht-210-a/,,,,,,,3511,38.90243902439025,
116,Tannhäuserdreef 176,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,,3561,18.125,6.0
117,Kromme Nieuwegracht 11 C,3512 HC,1695,,100.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,,,,,,,3512,16.95,10.0
118,CAB-rondom 147,3534 BJ,927,,74.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992204-cab-rondom-147/,,,,,,,3534,12.527027027027026,4.0
119,Oudenoord 256,3513 EV,1146,3000.0,54.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42804258-oudenoord-256/,,,,,,,3513,21.22222222222222,4.0
120,Hickorylaan 180,3545 CT,1204,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814466-hickorylaan-180/,,,,,,,3545,14.506024096385541,4.0
121,Moreelsehoek 396,3511 EZ,1073,8000.0,50.0,1.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42985440-moreelsehoek-396/,,,,,,,3511,21.46,
122,Marshalllaan 352 A,3527 TW,1325,4500.0,78.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88291897-marshalllaan-352-a/,,,,,,,3527,16.987179487179485,
123,Wulpstraat 55 *,3582 AW,1225,,30.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88351938-wulpstraat-55/,,,,,,,3582,40.833333333333336,4.0
124,CAB-rondom 11,3534 BJ,934,,75.0,2.0,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991063-cab-rondom-11/,,,,,,,3534,12.453333333333333,4.0
125,Monnetlaan 81,3527 GN,1450,4500.0,76.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88327842-monnetlaan-81/,,,,,,,3527,19.07894736842105,8.0
126,Van Eysingalaan 187,3527 VE,1350,,70.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-42985046-van-eysingalaan-187/,,,,,,,3527,19.285714285714285,8.0
127,Faustdreef 437,3561 LP,1450,6300.0,80.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88276665-faustdreef-437/,,,,,,,3561,18.125,9.0
128,Marshalllaan 394,3527 TW,925,4500.0,41.0,2.0,1.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88262933-marshalllaan-394/,,,,,,,3527,22.5609756097561,7.0
129,Hickorylaan 302,3545 CT,1169,6500.0,82.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814578-hickorylaan-302/,,,,,,,3545,14.25609756097561,4.0
130,Hickorylaan 124,3545 CT,1050,6500.0,73.0,3.0,2.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814457-hickorylaan-124/,,,,,,,3545,14.383561643835616,4.0
131,Auriollaan 32,3527 EV,1395,4500.0,76.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88169471-auriollaan-32/,,,,,,,3527,18.355263157894736,10.0
132,Marshalllaan 387,3527 TK,1450,4500.0,78.0,3.0,2.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88289616-marshalllaan-387/,,,,,,,3527,18.58974358974359,8.0
133,Oscar Hammersteinstraat 24,3543 CV,1245,,90.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42979851-oscar-hammersteinstraat-24/,,,,,,,3543,13.833333333333334,4.0
134,Piet Heinstraat 9,3582 BX,1675,,70.0,2.0,1.0,,False,True,C,https://www.funda.nl/huur/utrecht/huis-88339734-piet-heinstraat-9/,50.0,,,,,,3582,23.928571428571427,6.0
135,Twellosebeeklaan 117,3521 DR,965,,50.0,2.0,1.0,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989615-twellosebeeklaan-117/,,,,,,,3521,19.3,4.0
136,Hickorylaan 148,3545 CT,1229,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813320-hickorylaan-148/,,,,,,,3545,12.540816326530612,4.0
137,Eykmanlaan 415,3571 JR,1200,14000.0,94.0,4.0,3.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42737602-eykmanlaan-415/,,,,,,,3571,12.76595744680851,10.0
138,Hickorylaan 140,3545 CT,1184,6500.0,83.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813351-hickorylaan-140/,,,,,,,3545,14.265060240963855,4.0
139,Abstederdijk 133,3582 BE,1600,,87.0,4.0,2.0,,False,True,F,https://www.funda.nl/huur/utrecht/huis-42973121-abstederdijk-133/,45.0,,,,,,3582,18.39080459770115,9.0
140,CAB-rondom 143,3534 BJ,927,,74.0,2.0,1.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991033-cab-rondom-143/,,,,,,,3534,12.527027027027026,4.0
141,Pal Maleterstraat 11,3573 PE,1645,,112.0,4.0,3.0,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88200970-pal-maleterstraat-11/,,,,,,,3573,14.6875,5.0
142,Faustdreef 105,3561 LC,1450,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88251276-faustdreef-105/,,,,,,,3561,18.125,8.0
143,Twellosebeeklaan 291,3521 DR,1070,,49.0,2.0,1.0,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989625-twellosebeeklaan-291/,,,,,,,3521,21.836734693877553,4.0
144,Soestdijkstraat 8,3523 VM,1750,,118.0,5.0,4.0,2.0,False,True,F,https://www.funda.nl/huur/utrecht/huis-42971360-soestdijkstraat-8/,38.0,,,,,,3523,14.830508474576272,9.0
145,Karel Doormanlaan 11,3572 NA,1750,,100.0,3.0,2.0,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88354070-karel-doormanlaan-11/,,,,,,,3572,17.5,7.0
146,Hickorylaan 324,3545 CT,1254,6500.0,98.0,3.0,2.0,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813356-hickorylaan-324/,,,,,,,3545,12.795918367346939,4.0
147,Pieterskerkhof 23 B,3512 JS,1675,10000.0,66.0,2.0,1.0,2.0,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88357720-pieterskerkhof-23-b/,,,,,,,3512,25.37878787878788,2.0
148,Nijenoord 219,3552 AS,1023,5500.0,52.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42638953-nijenoord-219/,,,,,,,3552,19.673076923076923,
149,Bollenhofsestraat 39 A,3572 VH,1500,,72.0,3.0,2.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/huis-42983493-bollenhofsestraat-39-a/,,,,,,,3572,20.833333333333332,
150,Oudenoord 172,3513 EV,1134,3000.0,54.0,1.0,1.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42953887-oudenoord-172/,,,,,,,3513,21.0,10.0
151,Van Sijpesteijnkade 17 B,3521 AH,1450,,55.0,2.0,1.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886785-van-sijpesteijnkade-17-b/,,,,,,,3521,26.363636363636363,
152,Gildstraat 86 B,3572 ER,1550,,65.0,2.0,1.0,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42985072-gildstraat-86-b/,,,,,,,3572,23.846153846153847,10.0
153,Amsterdamsestraatweg 233 E,3551 CC,1095,,55.0,2.0,1.0,2.0,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42975720-amsterdamsestraatweg-233-e/,,,,,,,3551,19.90909090909091,6.0
154,CAB-rondom 131,3534 BJ,1455,,96.0,4.0,3.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992029-cab-rondom-131/,,,,,,,3534,15.15625,4.0
155,Auriollaan 41,3527 ES,1575,,75.0,4.0,3.0,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88340702-auriollaan-41/,,,,,,,3527,21.0,9.0
156,Apartment Van Heuven Goedhartplein 653 in Utrecht,3527 DZ ,1025,,54.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/9e510513/van-heuven-goedhartplein,,,,,,,3527,18.98148148148148,4.0
157,Apartment Van Sijpesteijnkade in Utrecht,3521 AH ,950,,43.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,,,,,,,3521,22.093023255813954,
158,House Carel Willinkstraat in Utrecht,3544 MA ,1650,,80.0,3.0,2.0,,False,True,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,,Temporary rental,€3300,€4950,2,,3544,20.625,4.0
159,Apartment Jutfaseweg 96 in Utrecht,3522 HH ,700,,20.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,Unlimited period,,,,Minimum of 1 months,3522,35.0,
160,Apartment Pal Maleterstraat 57 in Utrecht,3573 PG ,1675,,112.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,3573,14.955357142857142,5.0
161,Apartment Koningslaan in Utrecht,3583 GB ,1250,,50.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/aef46284/koningslaan,,,,,,,3583,25.0,
162,Apartment Van Hoornekade 135 in Utrecht,3554 AT ,1100,,90.0,4.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,,,,,,,3554,12.222222222222221,
163,Apartment Visschersplein 178 in Utrecht,3511 LX ,1495,,70.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,,€2990,,,,3511,21.357142857142858,4.0
164,Studio Berlijnplein in Utrecht,3541 CM ,633,327.0,30.0,1.0,,1.0,False,True,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,,,€1500,€2000,2,,3541,21.1,
165,Apartment 2e Spechtstraat in Utrecht,3514 TW ,1625,,110.0,3.0,2.0,1.0,True,True,,https://www.pararius.com/apartment-for-rent/utrecht/a17fb00d/2e-spechtstraat,12.0,,€1625,,,,3514,14.772727272727273,
166,Apartment Trumanlaan in Utrecht,3527 BM ,1530,,75.0,3.0,2.0,2.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,Unlimited period,€2000,,,,3527,20.4,5.0
167,Apartment Karel Doormanlaan in Utrecht,3572 NA ,1750,,100.0,3.0,2.0,1.0,True,False,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,,Unlimited period,€3500,€5250,,,3572,17.5,8.0
168,Apartment Peltlaan in Utrecht,3527 EB ,1300,,72.0,3.0,2.0,1.0,False,False,E,https://www.pararius.com/apartment-for-rent/utrecht/83bcf533/peltlaan,,Temporary rental,€3500,,,,3527,18.055555555555557,8.0
169,Studio Oudegracht in Utrecht,3511 AB ,730,315.0,24.0,1.0,1.0,1.0,False,True,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,,Temporary rental,€1500,,1,,3511,30.416666666666668,
170,Apartment Pal Maleterstraat 47 in Utrecht,3573 PG ,1325,,76.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/3b1d1c8e/pal-maleterstraat,,,,,,,3573,17.43421052631579,4.0
171,Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS ,1295,,53.0,2.0,1.0,1.0,False,False,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,3514,24.433962264150942,7.0
172,Apartment Van Heuven Goedhartplein 718 in Utrecht,3527 DZ ,1105,,54.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/8a2351ec/van-heuven-goedhartplein,,,,,,,3527,20.462962962962962,4.0
173,Apartment Europaplein 859 in Utrecht,3526 WS ,1150,,45.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/432542fa/europaplein,,,,,,Minimum of 12 months,3526,25.555555555555557,4.0
174,Apartment Gruttersdijk 28 H in Utrecht,3514 BH ,1500,,60.0,2.0,1.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/00ff528d/gruttersdijk,,Temporary rental,,,,"Minimum of 12, maximum of 24 months",3514,25.0,
175,Apartment Twijnstraat in Utrecht,3511 ZL ,1150,,31.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/40a9c93d/twijnstraat,,Temporary rental,€1150,,,,3511,37.096774193548384,
176,Apartment Monarchvlinderlaan in Utrecht,3544 DC ,1295,,56.0,3.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/7fc58433/monarchvlinderlaan,,Temporary rental,€2590,,2,,3544,23.125,4.0
177,Apartment Catharijnesingel in Utrecht,3511 GM ,1600,250.0,32.0,2.0,1.0,,False,False,D,https://www.pararius.com/apartment-for-rent/utrecht/e307977c/catharijnesingel,,,,,,,3511,50.0,7.0
178,Apartment Vleutenseweg in Utrecht,3532 HL ,1650,,47.0,2.0,1.0,,True,True,,https://www.pararius.com/apartment-for-rent/utrecht/f8fe35e2/vleutenseweg,,,€1650,,,,3532,35.1063829787234,
179,Apartment Zambesidreef 139 in Utrecht,3564 CB ,1230,,88.0,3.0,2.0,1.0,True,False,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,3564,13.977272727272727,3.0
180,Studio Bemuurde Weerd O.Z. 33 in Utrecht,3514 AP ,1500,,55.0,1.0,1.0,1.0,True,True,,https://www.pararius.com/studio-for-rent/utrecht/fc24df83/bemuurde-weerd-o-z,60.0,Temporary rental,€3000,,,,3514,27.272727272727273,
181,Apartment Auriollaan in Utrecht,3527 ES ,1575,,75.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/44a0c9b1/auriollaan,,Temporary rental,€3150,€4725,,,3527,21.0,5.0
182,Apartment Kromme Nieuwegracht in Utrecht,3512 HC ,1695,,100.0,3.0,2.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,,Temporary rental,€3390,€5085,,,3512,16.95,
183,Apartment Nieuwegracht in Utrecht,3512 LV ,1350,,45.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,,Temporary rental,€2700,€4050,1,,3512,30.0,
184,Apartment Westerdijk 4 0116 in Utrecht,3513 EW ,895,,28.0,1.0,,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/7e953747/westerdijk,,,,,,,3513,31.964285714285715,4.0
185,Apartment Pieterskerkhof 23 L in Utrecht,3512 JS ,1750,100.0,63.0,2.0,1.0,1.0,False,False,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,,,,,,,3512,27.77777777777778,1.0
186,Apartment Koekoeksplein in Utrecht,3514 TT ,1515,,45.0,3.0,2.0,1.0,False,True,B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,10.0,Temporary rental,€3030,,2,,3514,33.666666666666664,5.0
187,Apartment Gruttersdijk 27 M in Utrecht,3514 BH ,1400,,51.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/a03a96cc/gruttersdijk,,Temporary rental,,,,"Minimum of 12, maximum of 24 months",3514,27.45098039215686,
188,Apartment Bloemstraat in Utrecht,3581 WE ,1295,,45.0,2.0,1.0,1.0,False,True,D,https://www.pararius.com/apartment-for-rent/utrecht/dff215e0/bloemstraat,12.0,Unlimited period,,,,Minimum of 12 months,3581,28.77777777777778,7.0
189,Studio Vleutenseweg in Utrecht,3532 HH ,1295,,20.0,1.0,,,False,False,,https://www.pararius.com/studio-for-rent/utrecht/a02ba2e8/vleutenseweg,,,€2590,,1,,3532,64.75,
190,Studio Limapad in Utrecht,3584 SR ,520,,22.0,2.0,1.0,2.0,False,False,,https://www.pararius.com/studio-for-rent/utrecht/48156611/limapad,,,,,,,3584,23.636363636363637,
191,Apartment Wisselstraat in Utrecht,3551 WG ,1600,,47.0,2.0,1.0,,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/66348f0e/wisselstraat,,,,,,,3551,34.04255319148936,4.0
192,Apartment Maliestraat 1 5 in Utrecht,3581 SH ,1745,150.0,60.0,2.0,1.0,1.0,False,True,,https://www.pararius.com/apartment-for-rent/utrecht/f97bb17d/maliestraat,,,€3490,,,,3581,29.083333333333332,
193,Apartment Domplein in Utrecht,3512 JC ,975,,22.0,1.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3303ef9a/domplein,,,,,,,3512,44.31818181818182,
194,Apartment Breedstraat in Utrecht,3512 TX ,1400,,48.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/ab97c227/breedstraat,,,,,,,3512,29.166666666666668,
195,Apartment Kromme Nieuwegracht in Utrecht,3512 HL ,1650,,60.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/df2a0d25/kromme-nieuwegracht,,Temporary rental,€3300,€4950,,,3512,27.5,
196,House Bollenhofsestraat in Utrecht,3572 VH ,1500,,72.0,3.0,2.0,1.0,False,False,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,,,,,,,3572,20.833333333333332,
197,House Abstederdijk in Utrecht,3582 BE ,1600,,87.0,4.0,2.0,2.0,False,True,,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,45.0,,,,,,3582,18.39080459770115,
198,House Korenbloemstraat in Utrecht,3551 GM ,1750,,85.0,4.0,2.0,2.0,False,True,F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,16.0,Unlimited period,€1750,€5250,2,,3551,20.58823529411765,9.0
199,Apartment Hebe Kohlbruggeweg in Utrecht,3527 MD ,1500,,67.0,2.0,1.0,1.0,False,False,A++,https://www.pararius.com/apartment-for-rent/utrecht/5baa9b49/hebe-kohlbruggeweg,,,€3000,,,,3527,22.388059701492537,2.0
200,Apartment Twellosebeeklaan in Utrecht,3521 DR ,1525,,80.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,,,,,,,3521,19.0625,
201,House Piet Heinstraat 9 in Utrecht,3582 BX ,1675,,70.0,2.0,1.0,,False,True,C,https://www.pararius.com/house-for-rent/utrecht/bd31e1fb/piet-heinstraat,50.0,,,,,,3582,23.928571428571427,6.0
202,Apartment Twellosebeeklaan in Utrecht,3521 DR ,1500,,81.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/90eb4902/twellosebeeklaan,,,,,,,3521,18.51851851851852,
203,Apartment Obrechtstraat 4 in Utrecht,3572 EE ,1495,,70.0,2.0,1.0,1.0,False,True,B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,,,€2990,,,,3572,21.357142857142858,5.0
204,Apartment Adriaan van Bergenstraat in Utrecht,3554 VE ,1600,,81.0,3.0,2.0,1.0,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/558fd8b4/adriaan-van-bergenstraat,,,,,,,3554,19.753086419753085,4.0
205,Apartment Wijde Begijnestraat in Utrecht,3512 AW ,1400,,60.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,,,€2800,,2,,3512,23.333333333333332,
206,House Singelstraat in Utrecht,3513 BM ,1695,,70.0,2.0,1.0,1.0,False,False,D,https://www.pararius.com/house-for-rent/utrecht/96db807c/singelstraat,,,,,,,3513,24.214285714285715,7.0
207,Apartment Tafelbergdreef 192 in Utrecht,3564 AG ,1325,,84.0,4.0,3.0,1.0,True,False,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,,,,Minimum of 12 months,3564,15.773809523809524,9.0
208,Apartment Weerdsingel O.Z. in Utrecht,3514 AG ,1500,,75.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,,,,,3514,20.0,
209,Apartment Zadelstraat 5 in Utrecht,3511 LR ,1350,,62.0,2.0,1.0,1.0,False,False,F,https://www.pararius.com/apartment-for-rent/utrecht/689f51e3/zadelstraat,,,,,,,3511,21.774193548387096,9.0
210,Apartment Hekelsteeg 10 A in Utrecht,3511 AK ,1325,,51.0,2.0,1.0,1.0,False,True,D,https://www.pararius.com/apartment-for-rent/utrecht/cfa3e7bc/hekelsteeg,,,€1350,,,,3511,25.980392156862745,7.0
211,Apartment Smakkelaarsveld 23 in Utrecht,3511 EA ,1450,,50.0,2.0,1.0,1.0,True,False,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,,€1450,,,,3511,29.0,6.0
