,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class
212,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,Minimum of 12 months,3527,14.673913043478262,10.0
213,Apartment Burgemeester Reigerstraat in Utrecht,3581 KW ,1550,,58.0,2.0,1.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/49495a3e/burgemeester-reigerstraat,,Temporary rental,€1745,€5100,2,,3581,26.724137931034484,
214,Apartment Westerdijk 4 1702 in Utrecht,3513 EW ,1195,,44.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/48d7bb7a/westerdijk,,,,,,,3513,27.15909090909091,4.0
215,Apartment Pablo Picassostraat in Utrecht,3544 NX ,1295,45.0,88.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/e97b0e8d/pablo-picassostraat,,,,,,,3544,14.715909090909092,
216,Apartment Loeff Berchmakerstraat 11 1 in Utrecht,3512 TC ,1050,,35.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/6d8a76f8/loeff-berchmakerstraat,,Unlimited period,,,,Minimum of 1 months,3512,30.0,
217,Apartment Pieterskerkhof 23 B in Utrecht,3512 JS ,1675,100.0,66.0,2.0,1.0,1.0,False,False,A++,https://www.pararius.com/apartment-for-rent/utrecht/a6659750/pieterskerkhof,,,,,,,3512,25.37878787878788,2.0
218,Apartment Nachtegaalstraat in Utrecht,3581 AB ,1395,,65.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/0343c454/nachtegaalstraat,,,€3290,,,,3581,21.46153846153846,
219,House Wijde Doelen in Utrecht,3512 XN ,1495,,84.0,3.0,2.0,1.0,False,False,E,https://www.pararius.com/house-for-rent/utrecht/603821fd/wijde-doelen,,Temporary rental,€2990,€4485,,,3512,17.797619047619047,8.0
220,Apartment Merelstraat in Utrecht,3514 CL ,1150,175.0,26.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/769db979/merelstraat,,,,,,,3514,44.23076923076923,
221,House Morelstraat in Utrecht,3552 GM ,1495,,55.0,2.0,1.0,,False,True,F,https://www.pararius.com/house-for-rent/utrecht/19342a59/morelstraat,,,,,,,3552,27.181818181818183,9.0
222,Apartment Winklerlaan in Utrecht,3571 KE ,1350,,85.0,3.0,3.0,,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/56eddceb/winklerlaan,,,,,,,3571,15.882352941176471,4.0
223,Apartment Koningsweg in Utrecht,3582 GH ,1550,,80.0,3.0,2.0,,False,False,D,https://www.pararius.com/apartment-for-rent/utrecht/bfd93471/koningsweg,,Temporary rental,€1550,€4700,2,,3582,19.375,7.0
224,Apartment Londenstraat in Utrecht,3541 CB ,1600,,67.0,3.0,1.0,,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/31cf2fa5/londenstraat,,,,,,,3541,23.880597014925375,4.0
225,Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE ,1515,,101.0,3.0,2.0,1.0,True,False,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat,,,,,,,3573,15.0,6.0
226,Apartment Schoutenstraat in Utrecht,3512 GB ,1295,,60.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/7323072b/schoutenstraat,,,,,,,3512,21.583333333333332,
227,House Jasmijnstraat in Utrecht,3551 SP ,1650,,83.0,6.0,2.0,1.0,False,True,F,https://www.pararius.com/house-for-rent/utrecht/ad88ac23/jasmijnstraat,5.0,,,,,,3551,19.879518072289155,9.0
228,Apartment Oudegracht in Utrecht,3511 AJ ,1100,,50.0,1.0,,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3364a017/oudegracht,,,,,,,3511,22.0,
229,Apartment Loeff Berchmakerstraat in Utrecht,3512 TD ,1095,,37.0,2.0,2.0,,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/8dee882a/loeff-berchmakerstraat,,,,,,,3512,29.594594594594593,4.0
230,Apartment Linnaeusstraat in Utrecht,3553 CE ,1075,200.0,38.0,1.0,,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/b31afdb1/linnaeusstraat,,,,,,,3553,28.289473684210527,
231,Apartment Bakhuizen van den Brinkstraat in Utrecht,3532 GA ,1150,,35.0,2.0,1.0,1.0,False,True,C,https://www.pararius.com/apartment-for-rent/utrecht/a9b70717/bakhuizen-van-den-brinkstraat,,Unlimited period,€1150,€3450,2,,3532,32.857142857142854,6.0
232,Apartment Eschersingel in Utrecht,3544 ML ,1525,,100.0,3.0,2.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/59c50522/eschersingel,,Unlimited period,€1525,€4575,2,,3544,15.25,
233,Apartment Pal Maleterstraat 11 in Utrecht,3573 PE ,1645,,112.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/14b620f4/pal-maleterstraat,,,,,,,3573,14.6875,5.0
234,Apartment Beneluxlaan 134 in Utrecht,3527 HX ,1395,,75.0,3.0,2.0,1.0,True,False,F,https://www.pararius.com/apartment-for-rent/utrecht/2fd53209/beneluxlaan,,,€2790,,,,3527,18.6,9.0
235,Apartment Aartsbisschop Romerostraat 133 in Utrecht,3573 AE ,1515,,101.0,3.0,2.0,1.0,True,False,C,https://www.pararius.com/apartment-for-rent/utrecht/743d4722/aartsbisschop-romerostraat,,,,,,,3573,15.0,6.0
236,Apartment Pieterskerkhof 23 L in Utrecht,3512 JS ,1750,,63.0,2.0,1.0,1.0,False,False,A+++,https://www.pararius.com/apartment-for-rent/utrecht/70eb0c4b/pieterskerkhof,,In the city centre,1,,,,3512,27.77777777777778,1.0
237,Apartment Auriollaan in Utrecht,3527 ES ,1575,,75.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/44a0c9b1/auriollaan,,"On a quiet road
 in a residential area",1,No,No,Working,3527,21.0,5.0
238,Studio Limapad in Utrecht,3584 SR ,520,,22.0,2.0,1.0,2.0,False,False,,https://www.pararius.com/studio-for-rent/utrecht/48156611/limapad,,,1,,,,3584,23.636363636363637,
239,Apartment Maliestraat 1 5 in Utrecht,3581 SH ,1745,,60.0,2.0,1.0,1.0,False,True,,https://www.pararius.com/apartment-for-rent/utrecht/f97bb17d/maliestraat,,"in a residential area
 Near public transportation",1,,,,3581,29.083333333333332,
240,Apartment Zadelstraat 5 in Utrecht,3511 LR ,1350,,62.0,2.0,1.0,1.0,False,False,F,https://www.pararius.com/apartment-for-rent/utrecht/689f51e3/zadelstraat,,,,,,,3511,21.774193548387096,9.0
241,Apartment Adriaan van Bergenstraat in Utrecht,3554 VE ,1600,,81.0,3.0,2.0,1.0,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/558fd8b4/adriaan-van-bergenstraat,,,,,,,3554,19.753086419753085,4.0
242,Apartment Linnaeusstraat in Utrecht,3553 CE ,1075,,38.0,1.0,,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/b31afdb1/linnaeusstraat,,,1,,,,3553,28.289473684210527,
243,Apartment Visschersplein 178 in Utrecht,3511 LX ,1495,,70.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/5010e514/visschersplein,,"In the city centre
 Near public transportation
 Near a school
 Near a shopping centre",1,,,,3511,21.357142857142858,4.0
244,Apartment Van Hoornekade 135 in Utrecht,3554 AT ,1100,,90.0,4.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3e92cf4e/van-hoornekade,,,1,,,,3554,12.222222222222221,
245,Apartment Loeff Berchmakerstraat in Utrecht,3512 TD ,1095,,37.0,2.0,2.0,,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/8dee882a/loeff-berchmakerstraat,,,,,,,3512,29.594594594594593,4.0
246,Apartment Weerdsingel O.Z. in Utrecht,3514 AG ,1500,,75.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/c19da239/weerdsingel-o-z,,,,,,,3514,20.0,
247,Apartment Schoutenstraat in Utrecht,3512 GB ,1295,,60.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/7323072b/schoutenstraat,,,,,,,3512,21.583333333333332,
248,Apartment Beneluxlaan 134 in Utrecht,3527 HX ,1395,,75.0,3.0,2.0,1.0,True,False,F,https://www.pararius.com/apartment-for-rent/utrecht/2fd53209/beneluxlaan,,,1,,,,3527,18.6,9.0
249,Apartment Hekelsteeg 10 A in Utrecht,3511 AK ,1325,,51.0,2.0,1.0,1.0,False,True,D,https://www.pararius.com/apartment-for-rent/utrecht/cfa3e7bc/hekelsteeg,,In the city centre,1,,,,3511,25.980392156862745,7.0
250,Apartment Twijnstraat in Utrecht,3511 ZL ,1150,,31.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/40a9c93d/twijnstraat,,In the city centre,1,,No,,3511,37.096774193548384,
251,Studio Bemuurde Weerd O.Z. 33 in Utrecht,3514 AP ,1500,,55.0,1.0,1.0,1.0,True,True,,https://www.pararius.com/studio-for-rent/utrecht/fc24df83/bemuurde-weerd-o-z,60.0,In the city centre,1,No,No,,3514,27.272727272727273,
252,Apartment Monarchvlinderlaan in Utrecht,3544 DC ,1295,2.0,56.0,3.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/7fc58433/monarchvlinderlaan,,,2,No,No,Working,3544,23.125,4.0
253,Apartment Domplein in Utrecht,3512 JC ,975,,22.0,1.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3303ef9a/domplein,,,1,,,,3512,44.31818181818182,
254,Apartment Catharijnesingel in Utrecht,3511 GM ,1600,,32.0,2.0,1.0,,False,False,D,https://www.pararius.com/apartment-for-rent/utrecht/e307977c/catharijnesingel,,,1,,,,3511,50.0,7.0
255,Apartment Nieuwegracht in Utrecht,3512 LV ,1350,1.0,45.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/a15db453/nieuwegracht,,"By the water
 In the city centre",1,,No,Working,3512,30.0,
256,Apartment Loeff Berchmakerstraat 11 1 in Utrecht,3512 TC ,1050,,35.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/6d8a76f8/loeff-berchmakerstraat,,,,,,,3512,30.0,
257,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,,3527,14.673913043478262,10.0
258,Apartment Pal Maleterstraat 11 in Utrecht,3573 PE ,1645,,112.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/14b620f4/pal-maleterstraat,,,,,,,3573,14.6875,5.0
259,Apartment Wijde Begijnestraat in Utrecht,3512 AW ,1400,2.0,60.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/f2a2f833/wijde-begijnestraat,,In the city centre,1,No,No,,3512,23.333333333333332,
260,House Morelstraat in Utrecht,3552 GM ,1495,,55.0,2.0,1.0,,False,True,F,https://www.pararius.com/house-for-rent/utrecht/19342a59/morelstraat,,,,,,,3552,27.181818181818183,9.0
261,Apartment Tafelbergdreef 192 in Utrecht,3564 AG ,1325,,84.0,4.0,3.0,1.0,True,False,F,https://www.pararius.com/apartment-for-rent/utrecht/43bba35a/tafelbergdreef,,,,,,,3564,15.773809523809524,9.0
262,House Carel Willinkstraat in Utrecht,3544 MA ,1650,2.0,80.0,3.0,2.0,,False,True,A,https://www.pararius.com/house-for-rent/utrecht/8353dcca/carel-willinkstraat,,in a residential area,3,No,No,Working,3544,20.625,4.0
263,Apartment Hebe Kohlbruggeweg in Utrecht,3527 MD ,1500,,67.0,2.0,1.0,1.0,False,False,A++,https://www.pararius.com/apartment-for-rent/utrecht/5baa9b49/hebe-kohlbruggeweg,,,1,,,,3527,22.388059701492537,2.0
264,Apartment Pieterskerkhof 23 B in Utrecht,3512 JS ,1675,,66.0,2.0,1.0,1.0,False,False,A++,https://www.pararius.com/apartment-for-rent/utrecht/a6659750/pieterskerkhof,,In the city centre,1,,,,3512,25.37878787878788,2.0
265,Apartment Pal Maleterstraat 57 in Utrecht,3573 PG ,1675,,112.0,4.0,3.0,1.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/3b2e0368/pal-maleterstraat,,,,,,,3573,14.955357142857142,5.0
266,House Korenbloemstraat in Utrecht,3551 GM ,1750,2.0,85.0,4.0,2.0,2.0,False,True,F,https://www.pararius.com/house-for-rent/utrecht/1f1f3263/korenbloemstraat,16.0,"At a park
 in a residential area",2,No,No,Working,3551,20.58823529411765,9.0
267,Apartment Peltlaan in Utrecht,3527 EB ,1300,,72.0,3.0,2.0,1.0,False,False,E,https://www.pararius.com/apartment-for-rent/utrecht/83bcf533/peltlaan,,in a residential area,1,No,No,,3527,18.055555555555557,8.0
268,Apartment Karel Doormanlaan in Utrecht,3572 NA ,1750,,100.0,3.0,2.0,1.0,True,False,E,https://www.pararius.com/apartment-for-rent/utrecht/bec8caaf/karel-doormanlaan,,in a residential area,1,No,No,Working,3572,17.5,8.0
269,Apartment Zambesidreef 139 in Utrecht,3564 CB ,1230,,88.0,3.0,2.0,1.0,True,False,A+,https://www.pararius.com/apartment-for-rent/utrecht/6d03c0f1/zambesidreef,,,,,,,3564,13.977272727272727,3.0
270,House Wijde Doelen in Utrecht,3512 XN ,1495,,84.0,3.0,2.0,1.0,False,False,E,https://www.pararius.com/house-for-rent/utrecht/603821fd/wijde-doelen,,"In the city centre
 in a residential area",2,No,No,Working,3512,17.797619047619047,8.0
271,Apartment Koekoeksplein in Utrecht,3514 TT ,1515,2.0,45.0,3.0,2.0,1.0,False,True,B,https://www.pararius.com/apartment-for-rent/utrecht/b686dd1f/koekoeksplein,10.0,in a residential area,1,No,No,Working,3514,33.666666666666664,5.0
272,Apartment Kromme Nieuwegracht in Utrecht,3512 HC ,1695,,100.0,3.0,2.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,,"On a waterway
 By the water
 In the city centre",1,No,No,Working,3512,16.95,
273,Studio Oudegracht in Utrecht,3511 AB ,730,1.0,24.0,1.0,1.0,1.0,False,True,,https://www.pararius.com/studio-for-rent/utrecht/26e0fcfb/oudegracht,,In the city centre,1,No,No,Working,3511,30.416666666666668,
274,Apartment Trumanlaan in Utrecht,3527 BM ,1530,,75.0,3.0,2.0,2.0,True,False,B,https://www.pararius.com/apartment-for-rent/utrecht/32db0281/trumanlaan,,in a residential area,1,,,,3527,20.4,5.0
275,Apartment Vleutenseweg in Utrecht,3532 HL ,1650,,47.0,2.0,1.0,,True,True,,https://www.pararius.com/apartment-for-rent/utrecht/f8fe35e2/vleutenseweg,,"In the city centre
 Unobstructed view",,,No,,3532,35.1063829787234,
276,Apartment Nachtegaalstraat in Utrecht,3581 AB ,1395,,65.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/0343c454/nachtegaalstraat,,Near public transportation,1,,,,3581,21.46153846153846,
277,Apartment Twellosebeeklaan in Utrecht,3521 DR ,1500,,81.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/90eb4902/twellosebeeklaan,,,1,,,,3521,18.51851851851852,
278,Apartment Bemuurde Weerd O.Z. 50 in Utrecht,3514 AS ,1295,,53.0,2.0,1.0,1.0,False,False,D,https://www.pararius.com/apartment-for-rent/utrecht/ce7bd98e/bemuurde-weerd-o-z,,,,,,,3514,24.433962264150942,7.0
279,Apartment Van Sijpesteijnkade in Utrecht,3521 AH ,950,,43.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/bb76b004/van-sijpesteijnkade,,,1,,,,3521,22.093023255813954,
280,Apartment Pal Maleterstraat 47 in Utrecht,3573 PG ,1325,,76.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/3b1d1c8e/pal-maleterstraat,,,,,,,3573,17.43421052631579,4.0
281,Apartment Burgemeester Reigerstraat in Utrecht,3581 KW ,1550,2.0,58.0,2.0,1.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/49495a3e/burgemeester-reigerstraat,,In the city centre,1,No,No,Working,3581,26.724137931034484,
282,Apartment Smakkelaarsveld 23 in Utrecht,3511 EA ,1450,,50.0,2.0,1.0,1.0,True,False,C,https://www.pararius.com/apartment-for-rent/utrecht/2f0b764d/smakkelaarsveld,,,1,,,,3511,29.0,6.0
283,Apartment Bakhuizen van den Brinkstraat in Utrecht,3532 GA ,1150,2.0,35.0,2.0,1.0,1.0,False,True,C,https://www.pararius.com/apartment-for-rent/utrecht/a9b70717/bakhuizen-van-den-brinkstraat,,in a residential area,1,No,No,Working,3532,32.857142857142854,6.0
284,House Abstederdijk in Utrecht,3582 BE ,1600,,87.0,4.0,2.0,2.0,False,True,,https://www.pararius.com/house-for-rent/utrecht/405afd42/abstederdijk,45.0,"On a quiet road
 in a residential area",3,,,,3582,18.39080459770115,
285,Apartment Oudegracht in Utrecht,3511 AJ ,1100,,50.0,1.0,,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/3364a017/oudegracht,,,,,,,3511,22.0,
286,Apartment Pablo Picassostraat in Utrecht,3544 NX ,1295,,88.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/e97b0e8d/pablo-picassostraat,,,1,,,,3544,14.715909090909092,
287,House Piet Heinstraat 9 in Utrecht,3582 BX ,1675,,70.0,2.0,1.0,,False,True,C,https://www.pararius.com/house-for-rent/utrecht/bd31e1fb/piet-heinstraat,50.0,"On a quiet road
 in a residential area
 Unobstructed view",2,,,,3582,23.928571428571427,6.0
288,Apartment Gruttersdijk 27 M in Utrecht,3514 BH ,1400,,51.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/a03a96cc/gruttersdijk,,,,,,,3514,27.45098039215686,
289,Apartment Jutfaseweg 96 in Utrecht,3522 HH ,700,,20.0,2.0,1.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/32222706/jutfaseweg,,,,,,,3522,35.0,
290,Apartment Eschersingel in Utrecht,3544 ML ,1525,2.0,100.0,3.0,2.0,1.0,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/59c50522/eschersingel,,in a residential area,1,No,No,Working,3544,15.25,
291,Apartment Merelstraat in Utrecht,3514 CL ,1150,,26.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/769db979/merelstraat,,,1,,,,3514,44.23076923076923,
292,Apartment Breedstraat in Utrecht,3512 TX ,1400,,48.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/ab97c227/breedstraat,,,1,,,,3512,29.166666666666668,
293,Apartment Gruttersdijk 28 H in Utrecht,3514 BH ,1500,,60.0,2.0,1.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/00ff528d/gruttersdijk,,,,,,,3514,25.0,
294,Apartment Wisselstraat in Utrecht,3551 WG ,1600,,47.0,2.0,1.0,,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/66348f0e/wisselstraat,,,1,,,,3551,34.04255319148936,4.0
295,Apartment Twellosebeeklaan in Utrecht,3521 DR ,1525,,80.0,3.0,2.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/d176be81/twellosebeeklaan,,,1,,,,3521,19.0625,
296,Apartment Londenstraat in Utrecht,3541 CB ,1600,,67.0,3.0,1.0,,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/31cf2fa5/londenstraat,,In the city centre,1,,,,3541,23.880597014925375,4.0
297,Studio Vleutenseweg in Utrecht,3532 HH ,1295,1.0,20.0,1.0,,,False,False,,https://www.pararius.com/studio-for-rent/utrecht/a02ba2e8/vleutenseweg,,"In the city centre
 in a residential area",1,No,No,,3532,64.75,
298,Studio Berlijnplein in Utrecht,3541 CM ,633,2.0,30.0,1.0,,1.0,False,True,,https://www.pararius.com/studio-for-rent/utrecht/2c891cec/berlijnplein,,in a residential area,1,No,No,Working,3541,21.1,
299,Apartment Kromme Nieuwegracht in Utrecht,3512 HL ,1650,,60.0,2.0,1.0,,False,False,,https://www.pararius.com/apartment-for-rent/utrecht/df2a0d25/kromme-nieuwegracht,,"On a quiet road
 On a waterway
 In the city centre
 Unobstructed view",1,No,No,Working,3512,27.5,
300,House Jasmijnstraat in Utrecht,3551 SP ,1650,,83.0,6.0,2.0,1.0,False,True,F,https://www.pararius.com/house-for-rent/utrecht/ad88ac23/jasmijnstraat,5.0,In the city centre,2,,,,3551,19.879518072289155,9.0
301,House Bollenhofsestraat in Utrecht,3572 VH ,1500,,72.0,3.0,2.0,1.0,False,False,,https://www.pararius.com/house-for-rent/utrecht/49579329/bollenhofsestraat,,"On a quiet road
 in a residential area",3,,,,3572,20.833333333333332,
302,Apartment Winklerlaan in Utrecht,3571 KE ,1350,,85.0,3.0,3.0,,True,False,A,https://www.pararius.com/apartment-for-rent/utrecht/56eddceb/winklerlaan,,,,,,,3571,15.882352941176471,4.0
303,Apartment Obrechtstraat 4 in Utrecht,3572 EE ,1495,,70.0,2.0,1.0,1.0,False,True,B,https://www.pararius.com/apartment-for-rent/utrecht/5bb3b77a/obrechtstraat,,"in a residential area
 Near public transportation",1,,,,3572,21.357142857142858,5.0
304,Apartment Europaplein 859 in Utrecht,3526 WS ,1150,,45.0,2.0,1.0,1.0,False,False,A,https://www.pararius.com/apartment-for-rent/utrecht/432542fa/europaplein,,,,,,,3526,25.555555555555557,4.0
