,Unnamed: 0,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size,Rental agreement,Deposit,Income requirement,Maximum number of residents,Duration,postcode_beginning,price_pm,energie_class,price_pm_mean,price_pm_std,living_area_mean,living_area_std,bedrooms_mean,bedrooms_std,rooms_mean,rooms_std,energie_class_mean,energie_class_std,count,price_pm_stddev_ratio,living_area_stddev_ratio,bedrooms_stddev_ratio,rooms_stddev_ratio,energie_class_stddev_ratio,ranking
29,1,Henriëtte Roland Holststraat 19,3511 MT,1595,,70.0,3.0,2.0,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88343505-henriette-roland-holststraat-19/,,,,,,,3511,22.785714285714285,5.0,29.212132258804818,10.230780402408014,49.02857142857143,18.876511570616806,1.0344827586206897,0.32544020963805487,1.8235294117647058,0.5758044825624731,6.588235294117647,1.6605279103876784,35,-0.6281454317578696,1.1109800925332365,2.9668037715841273,2.043177196189421,-0.9564640763833029,4.73876679686383
57,374,Appartement Henriëtte Roland Holststraat,3511MT,1595,,70.0,3.0,2.0,0.0,False,False,B,https://www.huurstunt.nl/appartement/huren/utrecht/henriette-roland-holststraat/46282574,,,1.595,,,,3511,22.785714285714285,5.0,29.212132258804818,10.230780402408014,49.02857142857143,18.876511570616806,1.0344827586206897,0.32544020963805487,1.8235294117647058,0.5758044825624731,6.588235294117647,1.6605279103876784,35,-0.6281454317578696,1.1109800925332365,2.9668037715841273,2.043177196189421,-0.9564640763833029,4.73876679686383
173,117,Kromme Nieuwegracht 11 C,3512 HC,1695,,100.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,,,,,,,3512,16.95,10.0,26.341374413290257,6.035381496856322,56.51020408163265,20.651999952566733,1.1956521739130435,0.45311588988010093,2.1020408163265305,0.5101020306102036,4.1875,3.103089857974897,49,-1.556053153919431,2.1058394353212373,1.7751481332949837,1.7603521056352123,1.8731329951860585,3.5491116996898224
119,100,Van Weerden Poelmanlaan 2,3527 KN,1350,,92.0,3.0,2.0,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,,,,,,,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
133,212,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,Minimum of 12 months,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
137,257,Apartment Van Weerden Poelmanlaan 2 in Utrecht,3527 KN ,1350,,92.0,3.0,2.0,1.0,True,False,G,https://www.pararius.com/apartment-for-rent/utrecht/143bfcc8/van-weerden-poelmanlaan,,,,,,,3527,14.673913043478262,10.0,19.05265115424488,2.1370280028565984,71.73469387755102,12.13942528534623,1.9736842105263157,0.5921487260798663,2.9591836734693877,0.5758755534498964,6.9393939393939394,2.499242309423422,49,-2.0489849009528616,1.6693793689649936,0.04444118228185623,0.07087699119383349,1.2246135755088692,2.5646276856028196
79,8,Faustdreef 411,3561 LN,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
85,54,Faustdreef 107,3561 LC,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
87,72,Faustdreef 473,3561 LR,1395,6300.0,80.0,4.0,3.0,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,,,,,3561,17.4375,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,0.23570226039551503,0.17407765595569769,0.27487370837451075,2.0955830185367885
92,116,Tannhäuserdreef 176,3561 HL,1450,6300.0,80.0,4.0,3.0,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,,3561,18.125,6.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,0.46334896980245244,0.17407765595570257,0.23570226039551503,0.17407765595569769,-2.198989666996085,2.083796009105033
90,90,Euterpedreef 62,3561 CX,1300,,75.0,3.0,2.0,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-88354989-euterpedreef-62/,,,,,,,3561,17.333333333333332,8.0,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.3989151096669263,-5.570484990582319,-4.006938426723771,-5.570484990582331,0.27487370837451075,-9.016928579872236
0,0,Hickorylaan 70,3545 CT,1541,6500.0,135.0,4.0,2.0,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813359-hickorylaan-70/,,,,,,,3545,11.414814814814816,4.0,13.624440795144592,1.047069523184448,90.72413793103448,14.535416234946721,2.0,0.0,3.1379310344827585,0.35093120317179827,4.0,0.0,29,-2.1102953828793045,3.046067711670715,,2.4565184222025875,,
1,3,Hickorylaan 258,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814467-hickorylaan-258/,,,,,,,3545,12.305555555555555,4.0,13.624440795144592,1.047069523184448,90.72413793103448,14.535416234946721,2.0,0.0,3.1379310344827585,0.35093120317179827,4.0,0.0,29,-1.2595966269535919,1.1885357660023588,,2.4565184222025875,,
5,28,Hickorylaan 78,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814667-hickorylaan-78/,,,,,,,3545,12.305555555555555,4.0,13.624440795144592,1.047069523184448,90.72413793103448,14.535416234946721,2.0,0.0,3.1379310344827585,0.35093120317179827,4.0,0.0,29,-1.2595966269535919,1.1885357660023588,,2.4565184222025875,,
16,98,Hickorylaan 76,3545 CT,1329,6500.0,108.0,4.0,2.0,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814468-hickorylaan-76/,,,,,,,3545,12.305555555555555,4.0,13.624440795144592,1.047069523184448,90.72413793103448,14.535416234946721,2.0,0.0,3.1379310344827585,0.35093120317179827,4.0,0.0,29,-1.2595966269535919,1.1885357660023588,,2.4565184222025875,,
31,17,Moreelsehoek 190,3511 EZ,1096,8000.0,122.0,3.0,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42847502-moreelsehoek-190/,,,,,,,3511,8.98360655737705,,29.212132258804818,10.230780402408014,49.02857142857143,18.876511570616806,1.0344827586206897,0.32544020963805487,1.8235294117647058,0.5758044825624731,6.588235294117647,1.6605279103876784,35,-1.9772221576241233,3.865726371021643,,2.043177196189421,,
75,154,CAB-rondom 131,3534 BJ,1455,,96.0,4.0,3.0,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992029-cab-rondom-131/,,,,,,,3534,15.15625,4.0,12.760651499401499,1.4998881283932095,78.0,20.0124960961895,1.6,0.8432740427115678,2.5833333333333335,0.6685579234215214,4.0,0.0,13,1.5971847868179625,0.8994380267950337,1.660195771588399,2.1189886725393987,,
76,385,Bedrijfsruimte Spoordijk,3534BD,270,,30.0,,0.0,,False,False,,https://www.huurstunt.nl/bedrijfsruimte/huren/utrecht/spoordijk/46273644,,,,,,,3534,9.0,,12.760651499401499,1.4998881283932095,78.0,20.0124960961895,1.6,0.8432740427115678,2.5833333333333335,0.6685579234215214,4.0,0.0,13,-2.507287995825519,-2.3985014047867566,-1.8973665961010278,,,
98,322,Appartement Faustdreef in Utrecht,3561 LN ,1395,63.0,80.0,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1293404/faustdreef/,,,,,,Minimaal 12 maanden,3561,17.4375,,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,,0.17407765595569769,,
107,368,Appartement Faustdreef in Utrecht,3561 LR ,1395,63.0,80.0,4.0,,,True,False,,https://www.huurwoningen.nl/huren/utrecht/1287249/faustdreef/,,,,,,Minimaal 12 maanden,3561,17.4375,,17.996843434343436,0.2765875700796382,79.84848484848484,0.8703882797784903,2.9444444444444446,0.2357022603955158,3.9696969696969697,0.17407765595569782,7.777777777777778,0.8084520834544434,33,-2.022301414999899,0.17407765595570257,,0.17407765595569769,,
175,182,Apartment Kromme Nieuwegracht in Utrecht,3512 HC ,1695,,100.0,3.0,2.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,,Temporary rental,€3390,€5085,,,3512,16.95,,26.341374413290257,6.035381496856322,56.51020408163265,20.651999952566733,1.1956521739130435,0.45311588988010093,2.1020408163265305,0.5101020306102036,4.1875,3.103089857974897,49,-1.556053153919431,2.1058394353212373,1.7751481332949837,1.7603521056352123,,
196,272,Apartment Kromme Nieuwegracht in Utrecht,3512 HC ,1695,,100.0,3.0,2.0,1.0,True,False,,https://www.pararius.com/apartment-for-rent/utrecht/36e48ff9/kromme-nieuwegracht,,"On a waterway
 By the water
 In the city centre",1,No,No,Working,3512,16.95,,26.341374413290257,6.035381496856322,56.51020408163265,20.651999952566733,1.1956521739130435,0.45311588988010093,2.1020408163265305,0.5101020306102036,4.1875,3.103089857974897,49,-1.556053153919431,2.1058394353212373,1.7751481332949837,1.7603521056352123,,
201,326,Appartement Kromme Nieuwegracht in Utrecht,3512 HC ,1695,,100.0,3.0,2.0,1.0,True,False,,https://www.huurwoningen.nl/huren/utrecht/1318920/kromme-nieuwegracht/,,,,,,,3512,16.95,,26.341374413290257,6.035381496856322,56.51020408163265,20.651999952566733,1.1956521739130435,0.45311588988010093,2.1020408163265305,0.5101020306102036,4.1875,3.103089857974897,49,-1.556053153919431,2.1058394353212373,1.7751481332949837,1.7603521056352123,,
369,112,Nijenoord 315,3552 AS,1411,5500.0,97.0,4.0,3.0,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,,,,,3552,14.54639175257732,,23.82445690048783,5.448007850567483,61.5,17.432727841620196,1.4,0.8944271909999159,2.1666666666666665,0.9831920802501751,9.0,0.0,6,-1.7030197830834766,2.0363995997943967,1.788854381999832,1.8646746349572285,,
