,Unnamed: 0,address,postcode,Huurprijs,Waarborgsom,Huurovereenkomst,Aangeboden sinds,Status,Aanvaarding,Soort appartement,Soort bouw,Bouwjaar,Specifiek,Gebruiksoppervlakten,Wonen,Gebouwgebonden buitenruimte,Inhoud,Aantal kamers,Aantal badkamers,Badkamervoorzieningen,Aantal woonlagen,Gelegen op,Voorzieningen,Voorlopig energielabel,Isolatie,Verwarming,Warm water,Ligging,Balkon/dakterras,Soort parkeergelegenheid,url,Soort dak,Overige inpandige ruimte,Soort garage,Soort woonhuis,Perceel,Energielabel,Cv-ketel,Tuin,Achtertuin,Ligging tuin,Bouwperiode,Externe bergruimte,Schuur/berging,Inschrijving KvK,Jaarlijkse vergadering,Periodieke bijdrage,Reservefonds aanwezig,Onderhoudsplan,Opstalverzekering,Zonneterras,Oorspronkelijke huurprijs,Capaciteit,Keurmerken,Oppervlakte,rental_price,service_costs,rooms,bedrooms,Energierating
33,33,Auriollaan 12,3527 EV,"€ 1.450 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.495 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,76,,198 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88335360-auriollaan-12/,,,,,,G,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.450,"45,00",3 kamers ,2 slaapkamers,"3,13"
34,34,Oudenoord 172,3513 EV,"€ 1.134 per maand (exclusief servicekosten à € 30,00 /mnd)",Geen,Onbepaalde tijd,4 weken,Beschikbaar,Per direct beschikbaar,Galerijflat,Bestaande bouw,2017,,,54,,151 m³,1 kamer (1 slaapkamer),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42953887-oudenoord-172/,,,,,,G,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.134,"30,00",1 kamer ,1 slaapkamer,"1,83"
35,35,Eykmanlaan 415,3571 JR,"€ 1.200 per maand (exclusief servicekosten à € 140,00 /mnd)",Geen,Onbepaalde tijd,4 maanden,Onder optie,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1960,,,94,,244 m³,4 kamers (3 slaapkamers),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42737602-eykmanlaan-415/,,,,,,G,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.200,"140,00",4 kamers ,3 slaapkamers,"3,55"
36,36,Oud-Wulvenplantsoen 69,3523 XS,"€ 1.524 per maand (exclusief servicekosten à € 45,00 /mnd)",Geen,Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per direct beschikbaar,Portiekwoning (appartement),Bestaande bouw,2009,,,89,10 m²,214 m³,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,Douche,7 woonlagen,7e woonlaag,,,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42836273-oud-wulvenplantsoen-69/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.524,"45,00",3 kamers ,2 slaapkamers,
37,37,Faustdreef 37,3561 LA,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,2e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88231535-faustdreef-37/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,35"
38,38,Faustdreef 437,3561 LP,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,2 maanden,Beschikbaar,Beschikbaar per 1-1-2023,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,8e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88276665-faustdreef-437/,,,,,,F,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,41"
39,39,Tannhäuserdreef 176,3561 HL,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,6e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,,,,,,C,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.350 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,58"
40,40,Reyer Anslostraat 143 P,3522 DJ,€ 165 per maand (geen servicekosten),€ 200 eenmalig,Onbepaalde tijd,6+ maanden,Beschikbaar,Per direct beschikbaar,,Nieuwbouw,,,,,,,,,,,,,,,,,,,Parkeerplaats,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88950812-reyer-anslostraat-143-p/,,,,,,,,,,,,,,,,,,,,,€ 180 per maand (geen servicekosten),1.0,,,165,,,,
41,41,Faustdreef 135,3561 LD,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,2 maanden,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,7e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88275024-faustdreef-135/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,35"
42,42,Moreelsehoek 396,3511 EZ,"€ 1.073 per maand (exclusief servicekosten à € 80,00 /mnd)",Geen,Onbepaalde tijd,8 oktober 2022,Beschikbaar,Per direct beschikbaar,Bovenwoning (open portiek),Bestaande bouw,2020,,,50,,130 m³,1 kamer (1 slaapkamer),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42985440-moreelsehoek-396/,,,,,,Niet beschikbaar,,,,,,,,,,,,,,,,,,,1.073,"80,00",1 kamer ,1 slaapkamer,
43,43,Faustdreef 439,3561 LP,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,8e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88245559-faustdreef-439/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,35"
44,44,Nijenoord 219,3552 AS,"€ 1.023 per maand (exclusief servicekosten à € 55,00 /mnd)",Geen,Onbepaalde tijd,6+ maanden,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1958,,,52,,135 m³,2 kamers (1 slaapkamer),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42638953-nijenoord-219/,,,,,,Niet beschikbaar,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.023,"55,00",2 kamers ,1 slaapkamer,
45,45,Faustdreef 473,3561 LR,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.458 eenmalig,Onbepaalde tijd,5 maanden,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,9e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.395,"63,00",4 kamers ,3 slaapkamers,"2,06"
46,46,Breedstraat 28,3512 TX,€ 1.400 per maand (geen servicekosten),€ 1.400 eenmalig,Tijdelijke verhuur,2 weken,Beschikbaar,Per direct beschikbaar,Benedenwoning,Bestaande bouw,1993,,,48,,300 m³,2 kamers (1 slaapkamer),,,1 woonlaag,Begane grond,,C,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88338588-breedstraat-28/,,,,,,C,,,,,,,,,,,,,,,€ 1.500 per maand (geen servicekosten),,,,1.400,,2 kamers ,1 slaapkamer,
47,47,Catharijnesingel 74 C,3511 GM,"€ 1.600 per maand (exclusief servicekosten à € 250,00 /mnd)",€ 3.700 eenmalig,Tijdelijke verhuur,3 weken,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1920,,,32,,95 m³,2 kamers (1 slaapkamer),,,1 woonlaag,,,G,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88332938-catharijnesingel-74-c/,,,,,,G,,,,,,,,,,,,,,,,,,,1.600,"250,00",2 kamers ,1 slaapkamer,
48,48,Wisselstraat 78,3551 WG,€ 1.600 per maand (geen servicekosten),€ 3.200 eenmalig,Tijdelijke verhuur,5 weken,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,Na 2020,,,47,5 m²,156 m³,2 kamers (1 slaapkamer),,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-88313747-wisselstraat-78/,,,,,,Niet beschikbaar,,,,,,,,,,,,,,,,,,,1.600,,2 kamers ,1 slaapkamer,
49,49,Marshalllaan 352 A,3527 TW,"€ 1.325 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.370 eenmalig,Onbepaalde tijd,7 weken,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1960,,,78,,203 m³,4 kamers (3 slaapkamers),,,1 woonlaag,,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88291897-marshalllaan-352-a/,,,,,,Niet beschikbaar,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.325,"45,00",4 kamers ,3 slaapkamers,
50,50,Tannhäuserdreef 274,3561 HR,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,2e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88228309-tannhauserdreef-274/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,95"
51,51,Tannhäuserdreef 316,3561 HS,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,4 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88214220-tannhauserdreef-316/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,77"
52,52,Moreelsehoek 190,3511 EZ,"€ 1.096 per maand (exclusief servicekosten à € 80,00 /mnd)",Geen,Onbepaalde tijd,6 weken,Beschikbaar,Per direct beschikbaar,Bovenwoning,Bestaande bouw,2020,,,122,,184 m³,3 kamers,,,1 woonlaag,,,,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42847502-moreelsehoek-190/,,,,,,Niet beschikbaar,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.096,"80,00",3 kamers,,
53,53,Tannhäuserdreef 136,3561 HK,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,5 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,5e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88169457-tannhauserdreef-136/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,89"
54,54,Nijenoord 315,3552 AS,"€ 1.411 per maand (exclusief servicekosten à € 55,00 /mnd)",Geen,Onbepaalde tijd,2 maanden,Onder optie,Per direct beschikbaar,Bovenwoning,Bestaande bouw,1957,,,97,,252 m³,4 kamers (3 slaapkamers),,,1 woonlaag,,,,,,,Zeezicht,,,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,,,,,,Niet beschikbaar,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.411,"55,00",4 kamers ,3 slaapkamers,
55,55,Tannhäuserdreef 178,3561 HL,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,6e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,72"
56,56,Moreelsehoek 268,3511 EZ,"€ 1.040 per maand (exclusief servicekosten à € 80,00 /mnd)",Geen,Onbepaalde tijd,6+ maanden,Beschikbaar,Per direct beschikbaar,Tussenverdieping,Bestaande bouw,2020,,,50,,130 m³,1 kamer (1 slaapkamer),,,1 woonlaag,,,,,,,Vrij uitzicht,,,https://www.funda.nl/huur/utrecht/appartement-42694462-moreelsehoek-268/,,,,,,Niet beschikbaar,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.040,"80,00",1 kamer ,1 slaapkamer,
57,57,Faustdreef 333,3561 LK,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 30-11-2022,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,4e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88245541-faustdreef-333/,,,,,,F,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"2,41"
58,58,Tannhäuserdreef 330,3561 HT,"€ 1.450 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.513 eenmalig,Onbepaalde tijd,3 maanden,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1965,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,4e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88226167-tannhauserdreef-330/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",,,,1.450,"63,00",4 kamers ,3 slaapkamers,"1,95"
59,59,Faustdreef 411,3561 LN,"€ 1.395 per maand (exclusief servicekosten à € 63,00 /mnd)",€ 1.458 eenmalig,Onbepaalde tijd,4 maanden,Beschikbaar,Beschikbaar per direct beschikbaar,Bovenwoning (appartement),Bestaande bouw,1967,,,80,,208 m³,4 kamers (3 slaapkamers),,,1 woonlaag,7e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.395,"63,00",4 kamers ,3 slaapkamers,"2,35"
60,60,Twellosebeeklaan 123,3521 DR,€ 1.040 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,50,9 m²,130 m³,2 kamers (1 slaapkamer),,,5 woonlagen,1e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.040,,2 kamers ,1 slaapkamer,
61,61,Twellosebeeklaan 325,3521 DR,€ 1.510 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,80,6 m²,209 m³,3 kamers (2 slaapkamers),,,5 woonlagen,5e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989612-twellosebeeklaan-325/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.510,,3 kamers ,2 slaapkamers,
62,62,Visarendhof,3582 DR,€ 140 per maand (geen servicekosten),€ 100 eenmalig,Onbepaalde tijd,8 weken,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,,,,,,,,,,,,,,,,,,,Parkeerplaats,https://www.funda.nl/huur/utrecht/parkeergelegenheid-42821104-visarendhof/,,,,,,,,,,,,,,,,,,,,,,1.0,,,140,,,,
63,63,Voorsterbeeklaan,3521 DE,€ 100 per maand (geen servicekosten),€ 200 eenmalig,Onbepaalde tijd,17 oktober 2022,Beschikbaar,Per direct beschikbaar,,Bestaande bouw,,,,,,,,,,,,,,,,,,,Parkeerkelder,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88339577-voorsterbeeklaan/,,,,,,,,,,,,,,,,,,,,,,1.0,,,100,,,,
64,64,Twellosebeeklaan 193,3521 DR,€ 1.150 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,52,6 m²,134 m³,2 kamers (1 slaapkamer),,,5 woonlagen,2e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989624-twellosebeeklaan-193/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.150,,2 kamers ,1 slaapkamer,
65,65,Twellosebeeklaan 293,3521 DR,€ 1.070 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,50,4 m²,130 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989611-twellosebeeklaan-293/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.070,,2 kamers ,1 slaapkamer,
66,66,Twellosebeeklaan 281,3521 DR,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,80,6 m²,209 m³,3 kamers (2 slaapkamers),,,5 woonlagen,4e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989618-twellosebeeklaan-281/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.500,,3 kamers ,2 slaapkamers,
67,67,Twellosebeeklaan 183,3521 DR,€ 950 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,2e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989619-twellosebeeklaan-183/,,,Parkeerkelder,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,950,,2 kamers ,1 slaapkamer,
68,68,Twellosebeeklaan 291,3521 DR,€ 1.070 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989625-twellosebeeklaan-291/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.070,,2 kamers ,1 slaapkamer,
69,69,Twellosebeeklaan 237,3521 DR,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,80,6 m²,209 m³,3 kamers (2 slaapkamers),,,5 woonlagen,3e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989623-twellosebeeklaan-237/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.500,,3 kamers ,2 slaapkamers,
70,70,Twellosebeeklaan 139,3521 DR,€ 1.040 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,46,10 m²,120 m³,2 kamers (1 slaapkamer),,,5 woonlagen,1e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989627-twellosebeeklaan-139/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.040,,2 kamers ,1 slaapkamer,
71,71,Twellosebeeklaan 295,3521 DR,€ 1.070 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,50,4 m²,130 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989626-twellosebeeklaan-295/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.070,,2 kamers ,1 slaapkamer,
72,72,Twellosebeeklaan 141,3521 DR,€ 1.525 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,81,6 m²,210 m³,3 kamers (2 slaapkamers),,,5 woonlagen,1e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989628-twellosebeeklaan-141/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.525,,3 kamers ,2 slaapkamers,
73,73,Twellosebeeklaan 159,3521 DR,€ 950 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,2e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989621-twellosebeeklaan-159/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,950,,2 kamers ,1 slaapkamer,
74,74,Twellosebeeklaan 143,3521 DR,€ 1.500 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,81,6 m²,210 m³,3 kamers (2 slaapkamers),,,5 woonlagen,1e woonlaag,,A,,,,,,,https://www.funda.nl/huur/utrecht/appartement-42989616-twellosebeeklaan-143/,,,Parkeerplaats,,,A,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.500,,3 kamers ,2 slaapkamers,
75,75,Marshalllaan 387,3527 TK,"€ 1.450 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.495 eenmalig,Onbepaalde tijd,8 weken,Beschikbaar,Beschikbaar per 1-1-2023,Bovenwoning (appartement),Bestaande bouw,1960,,,78,,203 m³,3 kamers (2 slaapkamers),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88289616-marshalllaan-387/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,"€ 1.395 per maand (exclusief servicekosten à € 45,00 /mnd)",,,,1.450,"45,00",3 kamers ,2 slaapkamers,"2,19"
76,76,Monnetlaan 81,3527 GN,"€ 1.450 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 1.495 eenmalig,Onbepaalde tijd,3 weken,Beschikbaar,Beschikbaar per 1-11-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,76,,198 m³,3 kamers (2 slaapkamers),,,1 woonlaag,1e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88327842-monnetlaan-81/,,,,,,E,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.450,"45,00",3 kamers ,2 slaapkamers,"2,03"
77,77,Marshalllaan 333,3527 TJ,"€ 725 per maand (exclusief servicekosten à € 45,00 /mnd)",€ 770 eenmalig,Onbepaalde tijd,2 weken,Beschikbaar,Beschikbaar per 1-12-2022,Bovenwoning (appartement),Bestaande bouw,1960,,,41,,107 m³,2 kamers (1 slaapkamer),,,1 woonlaag,3e woonlaag,,,,,,In woonwijk,,,https://www.funda.nl/huur/utrecht/appartement-88339649-marshalllaan-333/,,,,,,D,,,,,,,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,725,"45,00",2 kamers ,1 slaapkamer,"1,96"
78,78,Twellosebeeklaan 315,3521 DR,€ 1.070 per maand (geen servicekosten),Geen,Onbepaalde tijd,10 oktober 2022,Beschikbaar,In overleg,Galerijflat,Nieuwbouw,2022,,,49,4 m²,128 m³,2 kamers (1 slaapkamer),,,5 woonlagen,5e woonlaag,,A,,,,,Balkon aanwezig,,https://www.funda.nl/huur/utrecht/appartement-42989629-twellosebeeklaan-315/,,,Parkeerplaats,,,A,,,,,,1 m²,,Nee,Nee,Nee,Nee,Nee,Nee,,,,,,1.070,,2 kamers ,1 slaapkamer,
