,address,postcode,rental_price,service_costs,living_area,rooms,bedrooms,bathrooms,balcony,garden,energielabel,url,garden_size
0,Hickorylaan 70,3545 CT,1541,6500,135,4,2,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813359-hickorylaan-70/,
1,Henriëtte Roland Holststraat 19,3511 MT,1595,,70,3,2,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88343505-henriette-roland-holststraat-19/,
2,CAB-rondom 135,3534 BJ,927,,74,2,1,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991027-cab-rondom-135/,
3,Hickorylaan 258,3545 CT,1329,6500,108,4,2,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814467-hickorylaan-258/,
4,Tannhäuserdreef 274,3561 HR,1450,6300,80,4,3,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228309-tannhauserdreef-274/,
5,Tannhäuserdreef 316,3561 HS,1450,6300,80,4,3,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88214220-tannhauserdreef-316/,
6,CAB-rondom 159,3534 BJ,1610,,110,3,2,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992057-cab-rondom-159/,
7,Catharijnesingel 74 C,3511 GM,1600,25000,32,2,1,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88332938-catharijnesingel-74-c/,
8,Faustdreef 411,3561 LN,1395,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88182284-faustdreef-411/,
9,Hickorylaan 346,3545 CT,1302,6500,104,3,2,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813353-hickorylaan-346/,
10,Marshalllaan 326,3527 TV,1395,4500,78,3,2,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88264183-marshalllaan-326/,
11,Tannhäuserdreef 330,3561 HT,1450,6300,80,4,3,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88226167-tannhauserdreef-330/,
12,Abel Tasmanstraat 23 A,3531 GS,1250,,67,3,1,,True,False,B,https://www.funda.nl/huur/utrecht/appartement-42997041-abel-tasmanstraat-23-a/,
13,Breedstraat 28,3512 TX,1400,,48,2,1,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88338588-breedstraat-28/,
14,Marshalllaan 311,3527 TH,1450,4500,78,3,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88293463-marshalllaan-311/,
15,Twellosebeeklaan 113,3521 DR,1525,,80,3,2,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42837941-twellosebeeklaan-113/,
16,Hickorylaan 266,3545 CT,1169,6500,82,3,2,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814562-hickorylaan-266/,
17,Moreelsehoek 190,3511 EZ,1096,8000,122,3,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42847502-moreelsehoek-190/,
18,Trumanhof 23,3527 CZ,1310,1300,85,4,3,2.0,False,True,A,https://www.funda.nl/huur/utrecht/huis-42988207-trumanhof-23/,43
19,Marshalllaan 338,3527 TV,1450,4500,78,3,2,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88333226-marshalllaan-338/,
20,Faustdreef 333,3561 LK,1450,6300,80,4,3,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88245541-faustdreef-333/,
21,Wijde Doelen 6,3512 XN,1495,,84,3,2,,False,False,F,https://www.funda.nl/huur/utrecht/huis-88353388-wijde-doelen-6/,
22,Visarendhof,3582 DR,140,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-42821104-visarendhof/,
23,Twellosebeeklaan 115,3521 DR,1040,,47,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989620-twellosebeeklaan-115/,
24,Dirkje Mariastraat 17,3551 SK,1325,,50,2,1,2.0,False,True,G,https://www.funda.nl/huur/utrecht/appartement-42964133-dirkje-mariastraat-17/,14
25,Hickorylaan 364,3545 CT,1254,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813357-hickorylaan-364/,
26,Faustdreef 439,3561 LP,1450,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88245559-faustdreef-439/,
27,Twellosebeeklaan 193,3521 DR,1150,,52,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989624-twellosebeeklaan-193/,
28,Hickorylaan 78,3545 CT,1329,6500,108,4,2,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814667-hickorylaan-78/,
29,Twellosebeeklaan 293,3521 DR,1070,,50,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989611-twellosebeeklaan-293/,
30,Twellosebeeklaan 237,3521 DR,1500,,80,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989623-twellosebeeklaan-237/,
31,Hickorylaan 92,3545 CT,1181,6500,81,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814566-hickorylaan-92/,
32,Marshalllaan 335,3527 TJ,1395,4500,78,3,2,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88266293-marshalllaan-335/,
33,Hickorylaan 348,3545 CT,1181,6500,81,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814665-hickorylaan-348/,
34,Twellosebeeklaan 315,3521 DR,1070,,49,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989629-twellosebeeklaan-315/,
35,Hickorylaan 108,3545 CT,1264,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813337-hickorylaan-108/,
36,Marshalllaan 364,3527 TW,1450,4500,78,3,2,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88332234-marshalllaan-364/,
37,Weg tot de Wetenschap 15 C,3584 AC,1650,,68,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88333935-weg-tot-de-wetenschap-15-c/,
38,Hickorylaan 188,3545 CT,1264,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813342-hickorylaan-188/,
39,Grifthoek 104,3514 JJ,1360,5000,60,1,1,2.0,False,False,B,https://www.funda.nl/huur/utrecht/appartement-42970364-grifthoek-104/,
40,Hickorylaan 340,3545 CT,1111,6500,78,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813334-hickorylaan-340/,
41,Hickorylaan 264,3545 CT,1169,6500,82,3,2,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814576-hickorylaan-264/,
42,Wisselstraat 64 *,3551 WG,1450,,48,1,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42977670-wisselstraat-64/,
43,Grifthoek 118,3514 JJ,1569,5500,80,3,2,2.0,True,False,C,https://www.funda.nl/huur/utrecht/appartement-42990920-grifthoek-118/,
44,Wisselstraat 78,3551 WG,1600,,47,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88313747-wisselstraat-78/,
45,Monnetlaan 83 A,3527 GN,1350,4500,57,3,2,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88320624-monnetlaan-83-a/,
46,Twellosebeeklaan 111,3521 DR,1500,,81,3,2,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42837940-twellosebeeklaan-111/,
47,Rubicondreef 198,3561 JH,1450,6300,80,4,3,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88335389-rubicondreef-198/,
48,Faustdreef 135,3561 LD,1450,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88275024-faustdreef-135/,
49,Kromme Nieuwegracht 60 2,3512 HL,1650,,60,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88348428-kromme-nieuwegracht-60-2/,
50,2e Atjehstraat 55,3531 SR,1495,,60,2,1,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42994590-2e-atjehstraat-55/,
51,Nieuwegracht 76 bg,3512 LV,1350,,45,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88356669-nieuwegracht-76-bg/,
52,Herenstraat 6 N,3512 KC,1600,,58,3,1,2.0,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-42996612-herenstraat-6-n/,
53,CAB-rondom 129,3534 BJ,1595,,110,3,2,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992027-cab-rondom-129/,
54,Faustdreef 107,3561 LC,1395,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231824-faustdreef-107/,
55,Hickorylaan 96,3545 CT,1181,6500,81,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814564-hickorylaan-96/,
56,Nieuwegracht 26 B,3512 LS,1300,,44,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-87771771-nieuwegracht-26-b/,
57,Eykmanlaan 411,3571 JR,1200,14000,94,4,3,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42897483-eykmanlaan-411/,
58,Londenstraat 126,3541 CB,1600,,67,3,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88290983-londenstraat-126/,
59,Van Sijpesteijnkade 17 G,3521 AH,950,,43,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886549-van-sijpesteijnkade-17-g/,
60,Van Hoornekade 135,3554 AT,1100,,90,4,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42905507-van-hoornekade-135/,
61,Voorsterbeeklaan,3521 DE,100,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88339577-voorsterbeeklaan/,
62,Wilde rucolavliet 41,3545 CL,1235,,81,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42983233-wilde-rucolavliet-41/,
63,Hickorylaan 100,3545 CT,1184,6500,83,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814464-hickorylaan-100/,
64,Reykjavikstraat 568,3543 KB,968,3000,48,1,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42897370-reykjavikstraat-568/,
65,Potterstraat 4 A,3512 TA,1650,,73,2,1,,False,True,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88200965-potterstraat-4-a/,
66,Kanaalweg 95 17,3533 HH,1095,,38,2,1,,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88338739-kanaalweg-95-17/,
67,Reyer Anslostraat 143 P,3522 DJ,165,,,,,,False,False,,https://www.funda.nl/huur/utrecht/parkeergelegenheid-88950812-reyer-anslostraat-143-p/,
68,Auriollaan 12,3527 EV,1450,4500,76,3,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88335360-auriollaan-12/,
69,Pieterskerkhof 23 E,3512 JS,1495,10000,42,2,1,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357725-pieterskerkhof-23-e/,
70,Tannhäuserdreef 136,3561 HK,1450,6300,80,4,3,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88169457-tannhauserdreef-136/,
71,CAB-rondom 157,3534 BJ,927,,74,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992963-cab-rondom-157/,
72,Faustdreef 473,3561 LR,1395,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88145062-faustdreef-473/,
73,Twellosebeeklaan 281,3521 DR,1500,,80,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989618-twellosebeeklaan-281/,
74,Hickorylaan 386,3545 CT,1322,6500,104,3,2,2.0,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42813346-hickorylaan-386/,
75,Linnaeusstraat 30 bis,3553 CE,1075,,38,1,,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88325786-linnaeusstraat-30-bis/,
76,Moreelsehoek 268,3511 EZ,1040,8000,50,1,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42694462-moreelsehoek-268/,
77,Twellosebeeklaan 139,3521 DR,1040,,46,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989627-twellosebeeklaan-139/,
78,CAB-rondom 9,3534 BJ,927,,74,2,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991940-cab-rondom-9/,
79,Plesmanlaan 50 1,3555 AP,1350,,61,2,1,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42974406-plesmanlaan-50-1/,
80,Visschersplein 178,3511 LX,1495,,70,2,1,,False,False,Niet verplicht,https://www.funda.nl/huur/utrecht/appartement-88337904-visschersplein-178/,
81,CAB-rondom 13,3534 BJ,934,,75,2,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991067-cab-rondom-13/,
82,Oud-Wulvenplantsoen 69,3523 XS,1524,4500,89,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42836273-oud-wulvenplantsoen-69/,
83,Twellosebeeklaan 159,3521 DR,950,,49,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989621-twellosebeeklaan-159/,
84,Marshalllaan 333,3527 TJ,725,4500,41,2,1,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88339649-marshalllaan-333/,
85,Faustdreef 475,3561 LR,1450,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88332148-faustdreef-475/,
86,Buys Ballotstraat 5 Bel,3572 ZN,1250,,54,3,1,,True,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42987734-buys-ballotstraat-5-bel/,
87,Faustdreef 37,3561 LA,1450,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88231535-faustdreef-37/,
88,Twellosebeeklaan 149,3521 DR,1175,,53,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989610-twellosebeeklaan-149/,
89,Twellosebeeklaan 325,3521 DR,1510,,80,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989612-twellosebeeklaan-325/,
90,Euterpedreef 62,3561 CX,1300,,75,3,2,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-88354989-euterpedreef-62/,
91,Twellosebeeklaan 141,3521 DR,1525,,81,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989628-twellosebeeklaan-141/,
92,Twellosebeeklaan 295,3521 DR,1070,,50,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989626-twellosebeeklaan-295/,
93,Springweg 452,3511 VZ,1195,,45,1,,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42899247-springweg-452/,
94,Pieterskerkhof 23 L,3512 JS,1750,10000,63,2,1,2.0,False,False,A+++,https://www.funda.nl/huur/utrecht/appartement-88357733-pieterskerkhof-23-l/,
95,CAB-rondom 149,3534 BJ,927,,74,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992399-cab-rondom-149/,
96,Camposdreef 16,3563 XM,1050,,66,2,1,2.0,True,True,A++,https://www.funda.nl/huur/utrecht/appartement-42988118-camposdreef-16/,
97,Carel Willinkstraat 43,3544 MA,1650,,80,3,2,,False,True,A,https://www.funda.nl/huur/utrecht/huis-88343683-carel-willinkstraat-43/,
98,Hickorylaan 76,3545 CT,1329,6500,108,4,2,,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42814468-hickorylaan-76/,
99,Hickorylaan 154,3545 CT,1085,6500,73,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814459-hickorylaan-154/,
100,Van Weerden Poelmanlaan 2,3527 KN,1350,,92,3,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88331638-van-weerden-poelmanlaan-2/,
101,Burgemeester Reigerstraat 2 B,3581 KR,1425,,56,2,1,2.0,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42987983-burgemeester-reigerstraat-2-b/,
102,Hickorylaan 120,3545 CT,1274,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813354-hickorylaan-120/,
103,Hickorylaan 418,3545 CT,1105,6500,73,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814458-hickorylaan-418/,
104,Pablo Picassostraat,3544 NX,1295,,88,3,2,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42964767-pablo-picassostraat/,
105,Hickorylaan 268,3545 CT,1322,6500,104,3,2,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42813344-hickorylaan-268/,
106,CAB-rondom 151,3534 BJ,927,,74,2,1,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991036-cab-rondom-151/,
107,Hickorylaan 300,3545 CT,1111,6500,78,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813339-hickorylaan-300/,
108,Prinses Beatrixplein 20,3523 VD,1500,5000,70,3,2,2.0,False,True,B,https://www.funda.nl/huur/utrecht/appartement-42987585-prinses-beatrixplein-20/,25
109,Twellosebeeklaan 183,3521 DR,950,,49,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989619-twellosebeeklaan-183/,
110,Hickorylaan 262,3545 CT,1111,6500,78,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814463-hickorylaan-262/,
111,Tannhäuserdreef 178,3561 HL,1450,6300,80,4,3,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88228346-tannhauserdreef-178/,
112,Nijenoord 315,3552 AS,1411,5500,97,4,3,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42817532-nijenoord-315/,
113,Twellosebeeklaan 123,3521 DR,1040,,50,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989635-twellosebeeklaan-123/,
114,Twellosebeeklaan 143,3521 DR,1500,,81,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989616-twellosebeeklaan-143/,
115,Oudegracht 210 A,3511 NS,1595,,41,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88317865-oudegracht-210-a/,
116,Tannhäuserdreef 176,3561 HL,1450,6300,80,4,3,,False,False,C,https://www.funda.nl/huur/utrecht/appartement-88291925-tannhauserdreef-176/,
117,Kromme Nieuwegracht 11 C,3512 HC,1695,,100,3,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88347097-kromme-nieuwegracht-11-c/,
118,CAB-rondom 147,3534 BJ,927,,74,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992204-cab-rondom-147/,
119,Oudenoord 256,3513 EV,1146,3000,54,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42804258-oudenoord-256/,
120,Hickorylaan 180,3545 CT,1204,6500,83,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814466-hickorylaan-180/,
121,Moreelsehoek 396,3511 EZ,1073,8000,50,1,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42985440-moreelsehoek-396/,
122,Marshalllaan 352 A,3527 TW,1325,4500,78,4,3,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-88291897-marshalllaan-352-a/,
123,Wulpstraat 55 *,3582 AW,1225,,30,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-88351938-wulpstraat-55/,
124,CAB-rondom 11,3534 BJ,934,,75,2,,2.0,False,True,A,https://www.funda.nl/huur/utrecht/appartement-42991063-cab-rondom-11/,
125,Monnetlaan 81,3527 GN,1450,4500,76,3,2,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88327842-monnetlaan-81/,
126,Van Eysingalaan 187,3527 VE,1350,,70,3,2,2.0,True,False,E,https://www.funda.nl/huur/utrecht/appartement-42985046-van-eysingalaan-187/,
127,Faustdreef 437,3561 LP,1450,6300,80,4,3,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88276665-faustdreef-437/,
128,Marshalllaan 394,3527 TW,925,4500,41,2,1,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88262933-marshalllaan-394/,
129,Hickorylaan 302,3545 CT,1169,6500,82,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42814578-hickorylaan-302/,
130,Hickorylaan 124,3545 CT,1050,6500,73,3,2,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42814457-hickorylaan-124/,
131,Auriollaan 32,3527 EV,1395,4500,76,3,2,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-88169471-auriollaan-32/,
132,Marshalllaan 387,3527 TK,1450,4500,78,3,2,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88289616-marshalllaan-387/,
133,Oscar Hammersteinstraat 24,3543 CV,1245,,90,2,1,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42979851-oscar-hammersteinstraat-24/,
134,Piet Heinstraat 9,3582 BX,1675,,70,2,1,,False,True,C,https://www.funda.nl/huur/utrecht/huis-88339734-piet-heinstraat-9/,50
135,Twellosebeeklaan 117,3521 DR,965,,50,2,1,,False,False,A,https://www.funda.nl/huur/utrecht/appartement-42989615-twellosebeeklaan-117/,
136,Hickorylaan 148,3545 CT,1229,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813320-hickorylaan-148/,
137,Eykmanlaan 415,3571 JR,1200,14000,94,4,3,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42737602-eykmanlaan-415/,
138,Hickorylaan 140,3545 CT,1184,6500,83,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813351-hickorylaan-140/,
139,Abstederdijk 133,3582 BE,1600,,87,4,2,,False,True,F,https://www.funda.nl/huur/utrecht/huis-42973121-abstederdijk-133/,45
140,CAB-rondom 143,3534 BJ,927,,74,2,1,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42991033-cab-rondom-143/,
141,Pal Maleterstraat 11,3573 PE,1645,,112,4,3,,False,False,B,https://www.funda.nl/huur/utrecht/appartement-88200970-pal-maleterstraat-11/,
142,Faustdreef 105,3561 LC,1450,6300,80,4,3,,False,False,E,https://www.funda.nl/huur/utrecht/appartement-88251276-faustdreef-105/,
143,Twellosebeeklaan 291,3521 DR,1070,,49,2,1,,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42989625-twellosebeeklaan-291/,
144,Soestdijkstraat 8,3523 VM,1750,,118,5,4,2.0,False,True,F,https://www.funda.nl/huur/utrecht/huis-42971360-soestdijkstraat-8/,38
145,Karel Doormanlaan 11,3572 NA,1750,,100,3,2,,False,False,D,https://www.funda.nl/huur/utrecht/appartement-88354070-karel-doormanlaan-11/,
146,Hickorylaan 324,3545 CT,1254,6500,98,3,2,2.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42813356-hickorylaan-324/,
147,Pieterskerkhof 23 B,3512 JS,1675,10000,66,2,1,2.0,False,False,A++,https://www.funda.nl/huur/utrecht/appartement-88357720-pieterskerkhof-23-b/,
148,Nijenoord 219,3552 AS,1023,5500,52,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42638953-nijenoord-219/,
149,Bollenhofsestraat 39 A,3572 VH,1500,,72,3,2,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/huis-42983493-bollenhofsestraat-39-a/,
150,Oudenoord 172,3513 EV,1134,3000,54,1,1,,False,False,G,https://www.funda.nl/huur/utrecht/appartement-42953887-oudenoord-172/,
151,Van Sijpesteijnkade 17 B,3521 AH,1450,,55,2,1,,False,False,Niet beschikbaar,https://www.funda.nl/huur/utrecht/appartement-42886785-van-sijpesteijnkade-17-b/,
152,Gildstraat 86 B,3572 ER,1550,,65,2,1,2.0,True,False,G,https://www.funda.nl/huur/utrecht/appartement-42985072-gildstraat-86-b/,
153,Amsterdamsestraatweg 233 E,3551 CC,1095,,55,2,1,2.0,False,False,C,https://www.funda.nl/huur/utrecht/appartement-42975720-amsterdamsestraatweg-233-e/,
154,CAB-rondom 131,3534 BJ,1455,,96,4,3,3.0,True,False,A,https://www.funda.nl/huur/utrecht/appartement-42992029-cab-rondom-131/,
155,Auriollaan 41,3527 ES,1575,,75,4,3,,False,False,F,https://www.funda.nl/huur/utrecht/appartement-88340702-auriollaan-41/,
